model,accuracy,precision,recall,f1_score
AdaBoost,0.922,0.9242007606787412,0.922,0.9226390987406898
GradientBoosting,0.912,0.912492973144861,0.912,0.9120703016684018
Bagging,0.884,0.8847884778571692,0.884,0.8843055176490334
RandomForest,0.88,0.880568356374808,0.88,0.8802700843213491
