model,accuracy,precision,recall,f1_score
GradientBoosting,0.9125,0.9124314424946206,0.9125,0.9122945046229469
Bagging,0.8975,0.8978045157456921,0.8975,0.8976200308473059
RandomForest,0.8775,0.8776492432897136,0.8775,0.8773997148548162
AdaBoost,0.71,0.7075688773102119,0.71,0.7072329621177168
