antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'soups'}),frozenset({'seasonal products'}),0.003207912851700862,0.007084140880839404,0.0003341575887188398,0.10416666666666667,14.704205974842768,1.0,0.0003114322821439356,1.1083711915748768,0.9349916191753268,0.033557046979865765,0.09777517892800251,0.0756682389937107
frozenset({'roll products '}),frozenset({'meat'}),0.005480184454988973,0.016841542471429525,0.0003341575887188398,0.06097560975609757,3.620547812620984,1.0,0.00024186282946887517,1.0469999158096466,0.7277871110812446,0.015197568389057751,0.044890085567295755,0.04040843979868371
frozenset({'salt'}),frozenset({'misc. beverages'}),0.005948005079195348,0.01577223818752924,0.0003341575887188398,0.05617977528089888,3.5619405827461437,1.0,0.00024034423586913708,1.0428127476346416,0.7235578862444534,0.015625,0.04105506739513071,0.03868310797943249
frozenset({'liver loaf'}),frozenset({'fruit/vegetable juice'}),0.003341575887188398,0.03401724253157789,0.00040098910646260775,0.12,3.5276227897838903,1.0,0.00028731790907044743,1.0977076789413887,0.7189253224256242,0.0108499095840868,0.08901065449010653,0.06589390962671905
frozenset({'pickled vegetables'}),frozenset({'ham'}),0.008955423377664907,0.0171088685424046,0.0005346521419501437,0.05970149253731344,3.4895055970149254,1.0,0.0003814349806400979,1.0452969175818871,0.7198732213905186,0.020942408376963352,0.043334020047312224,0.04547574626865672
frozenset({'spread cheese'}),frozenset({'sugar'}),0.006683151774376796,0.01771035220209851,0.00040098910646260775,0.06,3.3878490566037733,1.0,0.0002826281347183151,1.0449889870190443,0.7095696247953531,0.01671309192200557,0.0430521159341407,0.04132075471698113
frozenset({'spread cheese'}),frozenset({'misc. beverages'}),0.006683151774376796,0.01577223818752924,0.0003341575887188398,0.05,3.170127118644068,1.0,0.0002287493270899603,1.0360292229604955,0.6891610038350265,0.015105740181268881,0.03477626128878931,0.03559322033898305
