row_id,source_file,upload_first,upload_last,duplicate_count,plate,start_time,end_time,duration_min,fare_or_meter,distance_km,extra_metric,start_lon,start_lat,end_lon,end_lat
27,BCW7826_2025-09-25.txt,2025-09-25 18:59:39,2025-09-25 18:59:39,1,粤BCW7826,2025-09-25 18:51:55,2025-09-25 18:59:08,7.216666666666667,12.5,2.501,1.856,114.127585,22.550055,114.121822,22.567027
28,BCW7826_2025-09-25.txt,2025-09-25 19:29:53,2025-09-25 19:29:53,1,粤BCW7826,2025-09-25 19:17:50,2025-09-25 19:29:22,11.533333333333333,18.5,4.038,4.355,114.107792,22.567597,114.116302,22.54901
29,BCW7826_2025-09-25.txt,2025-09-25 19:43:40,2025-09-25 19:43:40,1,粤BCW7826,2025-09-25 19:34:10,2025-09-25 19:43:09,8.983333333333333,14.5,3.017,0.739,114.119175,22.54403,114.13711,22.546905
30,BCW7826_2025-09-25.txt,2025-09-25 20:25:08,2025-09-25 20:25:08,1,粤BCW7826,2025-09-25 20:16:00,2025-09-25 20:24:36,8.6,14.5,2.726,5.314,114.11667,22.548375,114.134452,22.5648
31,BCW7826_2025-09-25.txt,2025-09-25 20:37:19,2025-09-25 20:37:19,1,粤BCW7826,2025-09-25 20:30:58,2025-09-25 20:36:47,5.816666666666666,10.5,1.437,1.998,114.136355,22.5605,114.128867,22.55071
32,BCW7826_2025-09-25.txt,2025-09-25 20:46:46,2025-09-25 20:46:46,1,粤BCW7826,2025-09-25 20:37:19,2025-09-25 20:46:15,8.933333333333334,13.5,1.957,0.007,114.128845,22.55073,114.11265,22.544
33,BCW7826_2025-09-25.txt,2025-09-25 21:07:07,2025-09-25 21:07:07,1,粤BCW7826,2025-09-25 20:55:49,2025-09-25 21:06:36,10.783333333333333,17.5,3.566,0.756,114.116775,22.548537,114.124287,22.5735
34,BCW7826_2025-09-25.txt,2025-09-25 21:42:55,2025-09-25 21:42:55,1,粤BCW7826,2025-09-25 21:37:39,2025-09-25 21:42:24,4.75,10.0,1.029,3.398,114.107595,22.568127,114.103877,22.56087
35,BCW7826_2025-09-25.txt,2025-09-25 22:02:05,2025-09-25 22:02:05,1,粤BCW7826,2025-09-25 21:47:02,2025-09-25 22:01:34,14.533333333333333,20.5,3.891,0.889,114.10411,22.552862,114.130805,22.549335
36,BCW7826_2025-09-25.txt,2025-09-25 22:14:26,2025-09-25 22:14:26,1,粤BCW7826,2025-09-25 22:07:45,2025-09-25 22:13:55,6.166666666666667,11.0,1.592,0.5,114.128622,22.550255,114.13745,22.55575
37,BCW7826_2025-09-25.txt,2025-09-25 22:50:22,2025-09-25 22:50:22,1,粤BCW7826,2025-09-25 22:40:38,2025-09-25 22:49:51,9.216666666666667,17.5,4.279,3.494,114.11671,22.548532,114.131765,22.574662
38,BCW7826_2025-09-25.txt,2025-09-25 23:06:28,2025-09-25 23:06:28,1,粤BCW7826,2025-09-25 22:58:06,2025-09-25 23:05:57,7.85,16.0,2.901,1.57,114.13465,22.565465,114.122057,22.544927
39,BCW7826_2025-09-25.txt,2025-09-25 23:23:49,2025-09-25 23:23:49,1,粤BCW7826,2025-09-25 23:10:52,2025-09-25 23:23:17,12.416666666666666,36.0,7.77,0.201,114.12118,22.543455,114.056832,22.537555
40,BCW7826_2025-09-26.txt,2025-09-26 00:00:23,2025-09-26 00:00:23,1,粤BCW7826,2025-09-25 23:35:18,2025-09-25 23:59:51,24.55,65.0,15.361,3.944,114.086422,22.540685,114.158397,22.608732
